时间	设备名称	加速度X(g)	加速度Y(g)	加速度Z(g)	角速度X(°/s)	角速度Y(°/s)	角速度Z(°/s)	角度X(°)	角度Y(°)	角度Z(°)	磁场X(uT)	磁场Y(uT)	磁场Z(uT)	温度(°C)	电量(%)
2025-6-24 21:49:20:271	WTRIGHT(D0:74:13:DA:DA:8C)	-0.698	0.68	0.225	0.061	-0.122	1.16	-18.87	45.13	-163.61	-53.508	-10.878	92.806	32.1	100
2025-6-24 21:49:20:271	WTRIGHT(D0:74:13:DA:DA:8C)	-0.697	0.679	0.225	0.122	-0.183	1.465	-18.87	45.13	-163.61	-53.508	-10.878	92.806	32.1	100
2025-6-24 21:49:20:271	WTRIGHT(D0:74:13:DA:DA:8C)	-0.695	0.676	0.231	0.061	-0.061	1.831	-18.87	45.12	-163.6	-53.508	-10.878	92.806	32.1	100
2025-6-24 21:49:20:271	WTRIGHT(D0:74:13:DA:DA:8C)	-0.692	0.675	0.225	0.305	-0.183	1.953	-18.86	45.11	-163.6	-53.508	-10.878	92.806	32.1	100
2025-6-24 21:49:20:272	WTRIGHT(D0:74:13:DA:DA:8C)	-0.684	0.679	0.226	0.061	-0.183	2.136	-18.86	45.1	-163.6	-53.508	-10.878	92.806	32.1	100
2025-6-24 21:49:20:307	WTLEFT(C3:11:EA:D7:53:77)	-0.008	-0.653	0.739	1.526	-0.061		-40.67	1.42	-75.51	-86.142	1.96	31.85	30	100
2025-6-24 21:49:20:308	WTLEFT(C3:11:EA:D7:53:77)	-0.007	-0.656	0.741	1.465	-0.183		-40.66	1.42	-75.51	-86.142	1.96	31.85	30	100
2025-6-24 21:49:20:308	WTLEFT(C3:11:EA:D7:53:77)	-0.009	-0.652	0.74	1.77	-0.305		-40.65	1.42	-75.51	-86.142	1.96	31.85	30	100
2025-6-24 21:49:20:309	WTLEFT(C3:11:EA:D7:53:77)	-0.008	-0.653	0.742	1.892	-0.183		-40.64	1.42	-75.51	-86.142	1.96	31.85	30	100
2025-6-24 21:49:20:309	WTLEFT(C3:11:EA:D7:53:77)	-0.008	-0.653	0.745	1.831	-0.366		-40.63	1.42	-75.51	-86.142	1.96	31.85	30	100
2025-6-24 21:49:20:309	WTLEFT(C3:11:EA:D7:53:77)	-0.008	-0.653	0.745	2.014	-0.244		-40.62	1.42	-75.51	-86.142	1.96	31.85	30	100
2025-6-24 21:49:20:309	WTLEFT(C3:11:EA:D7:53:77)	-0.009	-0.652	0.746	2.014	-0.244		-40.62	1.42	-75.5	-86.142	1.96	31.85	30	100
2025-6-24 21:49:20:309	WTLEFT(C3:11:EA:D7:53:77)	-0.008	-0.652	0.75	2.075	-0.427		-40.61	1.42	-75.5	-86.142	1.96	31.85	30	100
2025-6-24 21:49:20:326	WTRIGHT(D0:74:13:DA:DA:8C)	-0.677	0.678	0.222	0.427	-0.244	2.258	-18.86	45.09	-163.6	-53.508	-10.878	92.806	32.1	100
2025-6-24 21:49:20:327	WTRIGHT(D0:74:13:DA:DA:8C)	-0.675	0.679	0.221	0.671	-0.305	2.441	-18.85	45.08	-163.6	-53.508	-10.878	92.806	32.1	100
2025-6-24 21:49:20:327	WTRIGHT(D0:74:13:DA:DA:8C)	-0.679	0.683	0.223	0.61	-0.244	2.441	-18.85	45.07	-163.6	-53.508	-10.878	92.806	32.1	100
2025-6-24 21:49:20:327	WTRIGHT(D0:74:13:DA:DA:8C)	-0.672	0.682	0.224	0.549	-0.244	2.38	-18.85	45.06	-163.59	-53.508	-10.878	92.806	32.1	100
2025-6-24 21:49:20:327	WTRIGHT(D0:74:13:DA:DA:8C)	-0.672	0.687	0.22	0.549	-0.427	2.38	-18.84	45.05	-163.59	-53.508	-10.878	92.806	32.1	100
2025-6-24 21:49:20:328	WTRIGHT(D0:74:13:DA:DA:8C)	-0.668	0.688	0.217	0.732	-0.183	2.502	-18.84	45.04	-163.59	-53.508	-10.878	92.806	32.1	100
