时间	设备名称	加速度X(g)	加速度Y(g)	加速度Z(g)	角速度X(°/s)	角速度Y(°/s)	角速度Z(°/s)	角度X(°)	角度Y(°)	角度Z(°)	磁场X(uT)	磁场Y(uT)	磁场Z(uT)	四元数0()	四元数1()	四元数2()	四元数3()	温度(°C)	版本号()	电量(%)
2025-5-24 12:49:32:222	WTGSB-A6(C3:11:EA:D7:53:77)	-0.340	-0.616	0.362	1.282	-2.991	-29.846	-76.10	16.42	-79.62	-51.058	2.450	14.112	-0.69272	0.41202	-0.45013	0.38422	3.7	13111	40
2025-5-24 12:49:32:222	WTGSB-A6(C3:11:EA:D7:53:77)	-0.489	-0.744	0.380	-0.366	-2.014	-30.579	-76.10	16.28	-79.62	-51.058	2.450	14.112	-0.69272	0.41202	-0.45013	0.38422	3.7	13111	40
2025-5-24 12:49:32:222	WTGSB-A6(C3:11:EA:D7:53:77)	-0.361	-0.752	0.331	0.427	-2.197	-31.982	-76.10	16.14	-79.63	-51.058	2.450	14.112	-0.69272	0.41202	-0.45013	0.38422	3.7	13111	40
2025-5-24 12:49:32:222	WTGSB-A6(C3:11:EA:D7:53:77)	-0.365	-0.740	0.276	0.305	-0.977	-35.278	-76.10	15.99	-79.65	-51.058	2.450	14.112	-0.69272	0.41202	-0.45013	0.38422	3.7	13111	40
2025-5-24 12:49:32:223	WTGSB-A6(C3:11:EA:D7:53:77)	-0.388	-0.786	0.214	0.366	-0.427	-36.255	-76.09	15.83	-79.68	-51.058	2.450	14.112	-0.69272	0.41202	-0.45013	0.38422	3.7	13111	40
2025-5-24 12:49:32:231	WTRIGHT(D0:74:13:DA:DA:8C)	0.146	-1.084	-0.107	-19.226	6.775	46.082	-82.45	-8.75	-49.79	-50.568	16.072	43.904	0.67441	-0.62613	0.18872	-0.34268	4.7	13111	60
2025-5-24 12:49:32:231	WTRIGHT(D0:74:13:DA:DA:8C)	0.421	-0.940	-0.141	-16.479	8.728	40.894	-82.53	-8.55	-49.80	-50.568	16.072	43.904	0.67441	-0.62613	0.18872	-0.34268	4.7	13111	60
2025-5-24 12:49:32:231	WTRIGHT(D0:74:13:DA:DA:8C)	0.340	-1.186	-0.120	-12.695	9.644	38.513	-82.60	-8.36	-49.81	-50.568	16.072	43.904	0.67441	-0.62613	0.18872	-0.34268	4.7	13111	60
2025-5-24 12:49:32:231	WTRIGHT(D0:74:13:DA:DA:8C)	0.197	-1.046	0.042	-9.399	10.132	36.804	-82.66	-8.18	-49.83	-50.568	16.072	43.904	0.67441	-0.62613	0.18872	-0.34268	4.7	13111	60
2025-5-24 12:49:32:232	WTRIGHT(D0:74:13:DA:DA:8C)	0.378	-1.018	0.114	-7.263	10.437	31.921	-82.69	-8.03	-49.85	-50.568	16.072	43.904	0.67441	-0.62613	0.18872	-0.34268	4.7	13111	60
2025-5-24 12:49:32:232	WTRIGHT(D0:74:13:DA:DA:8C)	0.290	-0.941	0.167	-4.700	13.367	26.123	-82.72	-7.90	-49.89	-50.568	16.072	43.904	0.67441	-0.62613	0.18872	-0.34268	4.7	13111	60
2025-5-24 12:49:32:232	WTRIGHT(D0:74:13:DA:DA:8C)	0.469	-1.159	0.064	-4.395	12.878	22.766	-82.74	-7.79	-49.93	-50.568	16.072	43.904	0.67441	-0.62613	0.18872	-0.34268	4.7	13111	60
2025-5-24 12:49:32:232	WTRIGHT(D0:74:13:DA:DA:8C)	0.441	-1.320	0.081	-0.549	15.930	18.494	-82.74	-7.70	-49.98	-50.568	16.072	43.904	0.67441	-0.62613	0.18872	-0.34268	4.7	13111	60
2025-5-24 12:49:32:259	WTRIGHT(D0:74:13:DA:DA:8C)	0.463	-1.187	0.150	2.258	16.296	15.503	-82.73	-7.63	-50.04	-50.568	16.072	43.904	0.67441	-0.62613	0.18872	-0.34268	4.7	13111	60
2025-5-24 12:49:32:260	WTRIGHT(D0:74:13:DA:DA:8C)	0.404	-1.206	0.181	4.883	18.555	10.864	-82.70	-7.58	-50.11	-50.568	16.072	43.904	0.67441	-0.62613	0.18872	-0.34268	4.7	13111	60
2025-5-24 12:49:32:260	WTRIGHT(D0:74:13:DA:DA:8C)	0.328	-1.232	0.266	7.446	19.104	7.385	-82.66	-7.55	-50.19	-50.568	16.072	43.904	0.67441	-0.62613	0.18872	-0.34268	4.7	13111	60
2025-5-24 12:49:32:260	WTRIGHT(D0:74:13:DA:DA:8C)	0.377	-1.210	0.379	7.568	18.921	2.808	-82.61	-7.54	-50.27	-50.568	16.072	43.904	0.67441	-0.62613	0.18872	-0.34268	4.7	13111	60
2025-5-24 12:49:32:261	WTRIGHT(D0:74:13:DA:DA:8C)	0.420	-1.185	0.396	7.385	20.325	-3.357	-82.56	-7.56	-50.36	-50.568	16.072	43.904	0.67441	-0.62613	0.18872	-0.34268	4.7	13111	60
2025-5-24 12:49:32:261	WTRIGHT(D0:74:13:DA:DA:8C)	0.238	-1.148	0.351	7.202	20.996	-8.484	-82.51	-7.61	-50.46	-50.568	16.072	43.904	0.67441	-0.62613	0.18872	-0.34268	4.7	13111	60
2025-5-24 12:49:32:261	WTRIGHT(D0:74:13:DA:DA:8C)	0.220	-1.157	0.308	6.897	20.508	-12.512	-82.46	-7.68	-50.55	-50.568	16.072	43.904	0.67441	-0.62613	0.18872	-0.34268	4.7	13111	60
2025-5-24 12:49:32:261	WTRIGHT(D0:74:13:DA:DA:8C)	0.730	-1.066	0.292	5.188	20.264	-18.311	-82.41	-7.78	-50.66	-50.568	16.072	43.904	0.67441	-0.62613	0.18872	-0.34268	4.7	13111	60
2025-5-24 12:49:32:309	WTGSB-A6(C3:11:EA:D7:53:77)	-0.408	-0.791	0.238	1.648	0.305	-36.926	-76.09	15.67	-79.71	-51.058	2.450	14.112	-0.65146	0.40259	-0.46490	0.44412	3.7	13111	40
2025-5-24 12:49:32:310	WTGSB-A6(C3:11:EA:D7:53:77)	-0.338	-0.875	0.298	2.136	2.441	-38.696	-76.08	15.50	-79.74	-51.058	2.450	14.112	-0.65146	0.40259	-0.46490	0.44412	3.7	13111	40
2025-5-24 12:49:32:310	WTGSB-A6(C3:11:EA:D7:53:77)	-0.362	-0.975	0.390	2.197	4.272	-38.940	-76.08	15.34	-79.79	-51.058	2.450	14.112	-0.65146	0.40259	-0.46490	0.44412	3.7	13111	40
2025-5-24 12:49:32:310	WTGSB-A6(C3:11:EA:D7:53:77)	-0.258	-0.900	0.325	1.831	6.470	-38.513	-76.08	15.18	-79.85	-51.058	2.450	14.112	-0.65146	0.40259	-0.46490	0.44412	3.7	13111	40
2025-5-24 12:49:32:311	WTGSB-A6(C3:11:EA:D7:53:77)	-0.457	-1.125	0.503	2.319	7.690	-37.842	-76.07	15.03	-79.92	-51.058	2.450	14.112	-0.65146	0.40259	-0.46490	0.44412	3.7	13111	40
2025-5-24 12:49:32:311	WTGSB-A6(C3:11:EA:D7:53:77)	-0.412	-0.932	0.294	1.221	10.803	-35.583	-76.08	14.89	-80.00	-51.058	2.450	14.112	-0.65146	0.40259	-0.46490	0.44412	3.7	13111	40
2025-5-24 12:49:32:311	WTGSB-A6(C3:11:EA:D7:53:77)	-0.386	-1.059	0.264	1.282	12.085	-34.851	-76.09	14.76	-80.08	-51.058	2.450	14.112	-0.65146	0.40259	-0.46490	0.44412	3.7	13111	40
2025-5-24 12:49:32:311	WTGSB-A6(C3:11:EA:D7:53:77)	-0.341	-1.007	0.292	2.930	13.367	-32.288	-76.09	14.64	-80.16	-51.058	2.450	14.112	-0.65146	0.40259	-0.46490	0.44412	3.7	13111	40
2025-5-24 12:49:32:318	WTRIGHT(D0:74:13:DA:DA:8C)	0.549	-1.228	0.344	8.789	22.278	-23.438	-82.35	-7.90	-50.77	-50.568	16.072	43.904	0.67441	-0.62613	0.18872	-0.34268	4.7	13111	60
2025-5-24 12:49:32:318	WTRIGHT(D0:74:13:DA:DA:8C)	0.228	-0.904	0.292	12.573	21.057	-20.752	-82.27	-8.01	-50.87	-50.568	16.072	43.904	0.67441	-0.62613	0.18872	-0.34268	4.7	13111	60
2025-5-24 12:49:32:318	WTRIGHT(D0:74:13:DA:DA:8C)	0.229	-1.028	0.429	11.230	20.203	-22.766	-82.18	-8.13	-50.97	-50.568	16.072	43.904	0.67441	-0.62613	0.18872	-0.34268	4.7	13111	60
2025-5-24 12:49:32:319	WTRIGHT(D0:74:13:DA:DA:8C)	0.243	-0.917	0.430	9.583	20.020	-27.832	-82.11	-8.27	-51.08	-50.568	16.072	43.904	0.67441	-0.62613	0.18872	-0.34268	4.7	13111	60
2025-5-24 12:49:32:319	WTRIGHT(D0:74:13:DA:DA:8C)	0.418	-1.133	0.479	8.667	17.883	-28.625	-82.04	-8.43	-51.17	-50.568	16.072	43.904	0.67441	-0.62613	0.18872	-0.34268	4.7	13111	60
2025-5-24 12:49:32:319	WTRIGHT(D0:74:13:DA:DA:8C)	0.283	-0.981	0.547	7.202	15.686	-31.250	-81.98	-8.59	-51.25	-50.568	16.072	43.904	0.67441	-0.62613	0.18872	-0.34268	4.7	13111	60
2025-5-24 12:49:32:319	WTRIGHT(D0:74:13:DA:DA:8C)	0.360	-1.159	0.371	3.662	13.733	-32.532	-81.93	-8.76	-51.33	-50.568	16.072	43.904	0.67441	-0.62613	0.18872	-0.34268	4.7	13111	60
2025-5-24 12:49:32:320	WTRIGHT(D0:74:13:DA:DA:8C)	0.895	-0.813	0.398	5.371	13.123	-34.912	-81.88	-8.94	-51.41	-50.568	16.072	43.904	0.67441	-0.62613	0.18872	-0.34268	4.7	13111	60
2025-5-24 12:49:32:322	WTGSB-A6(C3:11:EA:D7:53:77)	-0.324	-0.957	0.290	2.747	17.273	-29.541	-76.10	14.54	-80.26	-51.058	2.450	14.112	-0.65146	0.40259	-0.46490	0.44412	3.7	13111	40
2025-5-24 12:49:32:323	WTGSB-A6(C3:11:EA:D7:53:77)	-0.143	-1.117	0.248	1.770	18.799	-25.452	-76.11	14.46	-80.36	-51.058	2.450	14.112	-0.65146	0.40259	-0.46490	0.44412	3.7	13111	40
