时间	设备名称	加速度X(g)	加速度Y(g)	加速度Z(g)	角速度X(°/s)	角速度Y(°/s)	角速度Z(°/s)	角度X(°)	角度Y(°)	角度Z(°)	磁场X(uT)	磁场Y(uT)	磁场Z(uT)	四元数0()	四元数1()	四元数2()	四元数3()	温度(°C)	版本号()	电量(%)
2025-5-24 13:29:21:328	WTGSB-A6(C3:11:EA:D7:53:77)	-0.127	-0.980	0.593	-23.071	-22.278	34.424	-82.23	16.08	21.66	-29.890	8.624	77.812	-0.75470	0.60706	0.08908	-0.23209	7.0	13111	50
2025-5-24 13:29:21:357	WTGSB-A6(C3:11:EA:D7:53:77)	0.018	-0.908	0.816	-16.968	-25.085	29.480	-82.24	16.20	21.70	-29.890	8.624	77.812	-0.75470	0.60706	0.08908	-0.23209	7.0	13111	50
2025-5-24 13:29:21:358	WTGSB-A6(C3:11:EA:D7:53:77)	-0.272	-1.244	0.852	-15.869	-25.513	26.367	-82.24	16.31	21.74	-29.890	8.624	77.812	-0.75470	0.60706	0.08908	-0.23209	7.0	13111	50
2025-5-24 13:29:21:358	WTGSB-A6(C3:11:EA:D7:53:77)	-0.297	-0.892	0.828	-11.292	-29.236	21.973	-82.22	16.39	21.79	-29.890	8.624	77.812	-0.75470	0.60706	0.08908	-0.23209	7.0	13111	50
2025-5-24 13:29:21:358	WTGSB-A6(C3:11:EA:D7:53:77)	-0.087	-0.916	0.970	-10.010	-28.076	16.907	-82.18	16.44	21.84	-29.890	8.624	77.812	-0.75470	0.60706	0.08908	-0.23209	7.0	13111	50
2025-5-24 13:29:21:358	WTGSB-A6(C3:11:EA:D7:53:77)	-0.310	-1.057	1.174	-7.019	-27.344	11.292	-82.13	16.46	21.88	-29.890	8.624	77.812	-0.75470	0.60706	0.08908	-0.23209	7.0	13111	50
2025-5-24 13:29:21:358	WTGSB-A6(C3:11:EA:D7:53:77)	-0.253	-0.922	1.098	-10.254	-27.283	8.057	-82.10	16.46	21.92	-29.890	8.624	77.812	-0.75470	0.60706	0.08908	-0.23209	7.0	13111	50
2025-5-24 13:29:21:358	WTGSB-A6(C3:11:EA:D7:53:77)	-0.298	-0.883	1.015	-10.986	-26.428	4.822	-82.06	16.45	21.95	-29.890	8.624	77.812	-0.75470	0.60706	0.08908	-0.23209	7.0	13111	50
2025-5-24 13:29:21:358	WTGSB-A6(C3:11:EA:D7:53:77)	-0.299	-0.922	0.911	-10.132	-27.405	3.479	-82.01	16.42	21.98	-29.890	8.624	77.812	-0.75470	0.60706	0.08908	-0.23209	7.0	13111	50
2025-5-24 13:29:21:372	WTRIGHT(D0:74:13:DA:DA:8C)	0.089	-0.655	-0.474	36.804	-22.095	31.250	-84.23	-6.35	-116.46	-41.846	14.896	-10.486	0.29578	-0.36411	0.60345	-0.64471	6.8	13111	60
2025-5-24 13:29:21:372	WTRIGHT(D0:74:13:DA:DA:8C)	0.561	-0.700	-0.773	35.706	-23.987	29.114	-84.09	-6.23	-116.30	-41.846	14.896	-10.486	0.29578	-0.36411	0.60345	-0.64471	6.8	13111	60
2025-5-24 13:29:21:372	WTRIGHT(D0:74:13:DA:DA:8C)	0.520	-0.928	-0.711	34.851	-32.593	27.832	-83.97	-6.12	-116.09	-41.846	14.896	-10.486	0.29578	-0.36411	0.60345	-0.64471	6.8	13111	60
2025-5-24 13:29:21:372	WTRIGHT(D0:74:13:DA:DA:8C)	0.891	-0.920	-0.495	34.790	-24.536	28.748	-83.85	-6.01	-115.93	-41.846	14.896	-10.486	0.29578	-0.36411	0.60345	-0.64471	6.8	13111	60
2025-5-24 13:29:21:372	WTRIGHT(D0:74:13:DA:DA:8C)	0.487	-1.078	-0.682	31.921	-26.794	24.963	-83.75	-5.92	-115.76	-41.846	14.896	-10.486	0.29578	-0.36411	0.60345	-0.64471	6.8	13111	60
2025-5-24 13:29:21:372	WTRIGHT(D0:74:13:DA:DA:8C)	-0.189	-1.027	-0.440	31.189	-26.245	29.297	-83.66	-5.82	-115.59	-41.846	14.896	-10.486	0.29578	-0.36411	0.60345	-0.64471	6.8	13111	60
2025-5-24 13:29:21:372	WTRIGHT(D0:74:13:DA:DA:8C)	0.625	-0.707	-0.616	29.541	-28.137	33.447	-83.58	-5.69	-115.41	-41.846	14.896	-10.486	0.29578	-0.36411	0.60345	-0.64471	6.8	13111	60
2025-5-24 13:29:21:372	WTRIGHT(D0:74:13:DA:DA:8C)	0.497	-1.125	-0.229	25.635	-32.959	30.579	-83.52	-5.58	-115.21	-41.846	14.896	-10.486	0.29578	-0.36411	0.60345	-0.64471	6.8	13111	60
2025-5-24 13:29:21:416	WTGSB-A6(C3:11:EA:D7:53:77)	-0.351	-0.779	0.884	-8.362	-28.198	2.014	-81.96	16.39	22.02	-29.890	8.624	77.812	-0.75470	0.60706	0.08908	-0.23209	7.0	13111	50
2025-5-24 13:29:21:418	WTGSB-A6(C3:11:EA:D7:53:77)	-0.295	-0.736	0.814	-7.263	-28.809	0.732	-81.89	16.35	22.06	-29.890	8.624	77.812	-0.75470	0.60706	0.08908	-0.23209	7.0	13111	50
2025-5-24 13:29:21:418	WTGSB-A6(C3:11:EA:D7:53:77)	-0.280	-0.959	0.938	-6.531	-29.419	-1.099	-81.82	16.30	22.10	-29.890	8.624	77.812	-0.75470	0.60706	0.08908	-0.23209	7.0	13111	50
2025-5-24 13:29:21:418	WTGSB-A6(C3:11:EA:D7:53:77)	-0.269	-0.794	0.995	-6.287	-28.198	-2.380	-81.75	16.25	22.14	-29.890	8.624	77.812	-0.75470	0.60706	0.08908	-0.23209	7.0	13111	50
2025-5-24 13:29:21:418	WTGSB-A6(C3:11:EA:D7:53:77)	-0.269	-0.837	1.044	-6.775	-26.978	-3.418	-81.68	16.19	22.17	-29.890	8.624	77.812	-0.75470	0.60706	0.08908	-0.23209	7.0	13111	50
2025-5-24 13:29:21:418	WTGSB-A6(C3:11:EA:D7:53:77)	-0.218	-0.831	0.983	-7.507	-25.513	-4.150	-81.61	16.12	22.19	-29.890	8.624	77.812	-0.75470	0.60706	0.08908	-0.23209	7.0	13111	50
2025-5-24 13:29:21:419	WTGSB-A6(C3:11:EA:D7:53:77)	-0.215	-0.868	0.859	-8.118	-23.865	-4.578	-81.55	16.06	22.21	-29.890	8.624	77.812	-0.75470	0.60706	0.08908	-0.23209	7.0	13111	50
2025-5-24 13:29:21:419	WTGSB-A6(C3:11:EA:D7:53:77)	-0.290	-0.884	0.845	-6.470	-23.682	-4.761	-81.47	15.99	22.22	-29.890	8.624	77.812	-0.72498	0.64966	0.02838	-0.22681	7.0	13111	50
2025-5-24 13:29:21:427	WTRIGHT(D0:74:13:DA:DA:8C)	0.829	-1.034	-0.344	23.621	-28.381	26.123	-83.47	-5.50	-115.04	-41.846	14.896	-10.486	0.29578	-0.36411	0.60345	-0.64471	6.8	13111	60
2025-5-24 13:29:21:427	WTRIGHT(D0:74:13:DA:DA:8C)	0.479	-0.750	0.000	20.569	-25.452	28.015	-83.43	-5.41	-114.88	-41.846	14.896	-10.486	0.29578	-0.36411	0.60345	-0.64471	6.8	13111	60
2025-5-24 13:29:21:428	WTRIGHT(D0:74:13:DA:DA:8C)	0.344	-1.238	-0.359	14.160	-37.537	19.104	-83.43	-5.37	-114.68	-41.846	14.896	-10.486	0.29578	-0.36411	0.60345	-0.64471	6.8	13111	60
2025-5-24 13:29:21:428	WTRIGHT(D0:74:13:DA:DA:8C)	0.625	-0.717	-0.654	14.771	-28.503	20.142	-83.42	-5.32	-114.51	-41.846	14.896	-10.486	0.29578	-0.36411	0.60345	-0.64471	6.8	13111	60
2025-5-24 13:29:21:428	WTRIGHT(D0:74:13:DA:DA:8C)	0.166	-0.879	-0.470	15.991	-26.611	14.709	-83.41	-5.30	-114.36	-41.846	14.896	-10.486	0.29578	-0.36411	0.60345	-0.64471	6.8	13111	60
2025-5-24 13:29:21:428	WTRIGHT(D0:74:13:DA:DA:8C)	-0.085	-1.074	-0.496	11.658	-31.128	13.672	-83.44	-5.28	-114.20	-41.846	14.896	-10.486	0.29578	-0.36411	0.60345	-0.64471	6.8	13111	60
