时间	设备名称	加速度X(g)	加速度Y(g)	加速度Z(g)	角速度X(°/s)	角速度Y(°/s)	角速度Z(°/s)	角度X(°)	角度Y(°)	角度Z(°)	磁场X(uT)	磁场Y(uT)	磁场Z(uT)	四元数0()	四元数1()	四元数2()	四元数3()	温度(°C)	版本号()	电量(%)
2025-5-24 13:23:41:140	WTGSB-A6(C3:11:EA:D7:53:77)	-0.657	-1.490	-0.066	2.625	26.672	-34.851	-78.35	-8.17	-60.57	-45.080	22.442	86.240	0.64435	-0.57236	0.25980	-0.43542	6.8	13111	40
2025-5-24 13:23:41:140	WTGSB-A6(C3:11:EA:D7:53:77)	-0.676	-0.420	0.208	2.197	27.466	-24.170	-78.33	-8.18	-60.64	-45.080	22.442	86.240	0.64435	-0.57236	0.25980	-0.43542	6.8	13111	40
2025-5-24 13:23:41:140	WTGSB-A6(C3:11:EA:D7:53:77)	-0.575	-0.497	-0.296	3.418	28.748	-16.602	-78.32	-8.15	-60.70	-45.080	22.442	86.240	0.64435	-0.57236	0.25980	-0.43542	6.8	13111	40
2025-5-24 13:23:41:140	WTGSB-A6(C3:11:EA:D7:53:77)	0.049	-1.552	-0.245	5.432	29.602	-5.188	-78.29	-8.05	-60.75	-45.080	22.442	86.240	0.64435	-0.57236	0.25980	-0.43542	6.8	13111	40
2025-5-24 13:23:41:140	WTGSB-A6(C3:11:EA:D7:53:77)	-0.799	-1.764	0.596	5.127	29.114	9.399	-78.28	-7.90	-60.79	-45.080	22.442	86.240	0.64435	-0.57236	0.25980	-0.43542	6.8	13111	40
2025-5-24 13:23:41:156	WTGSB-A6(C3:11:EA:D7:53:77)	-0.519	-0.361	0.359	10.681	31.067	23.865	-78.23	-7.66	-60.83	-45.080	22.442	86.240	0.64435	-0.57236	0.25980	-0.43542	6.8	13111	40
2025-5-24 13:23:41:156	WTGSB-A6(C3:11:EA:D7:53:77)	-0.521	-1.807	0.485	2.258	35.156	33.875	-78.22	-7.38	-60.86	-45.080	22.442	86.240	0.64435	-0.57236	0.25980	-0.43542	6.8	13111	40
2025-5-24 13:23:41:156	WTGSB-A6(C3:11:EA:D7:53:77)	-0.884	-1.640	0.445	1.465	35.583	40.894	-78.22	-7.06	-60.90	-45.080	22.442	86.240	0.64435	-0.57236	0.25980	-0.43542	6.8	13111	40
2025-5-24 13:23:41:157	WTGSB-A6(C3:11:EA:D7:53:77)	-0.329	-1.421	0.623	4.333	41.565	51.453	-78.20	-6.68	-60.95	-45.080	22.442	86.240	0.64435	-0.57236	0.25980	-0.43542	6.8	13111	40
2025-5-24 13:23:41:157	WTGSB-A6(C3:11:EA:D7:53:77)	-0.647	-1.088	0.549	4.333	41.931	60.059	-78.17	-6.26	-61.00	-45.080	22.442	86.240	0.64435	-0.57236	0.25980	-0.43542	6.8	13111	40
2025-5-24 13:23:41:157	WTGSB-A6(C3:11:EA:D7:53:77)	-0.492	-0.612	0.479	-1.648	45.532	71.594	-78.18	-5.78	-61.05	-45.080	22.442	86.240	0.64435	-0.57236	0.25980	-0.43542	6.8	13111	40
2025-5-24 13:23:41:157	WTGSB-A6(C3:11:EA:D7:53:77)	-0.404	-1.207	0.688	-8.484	47.913	82.275	-78.22	-5.24	-61.09	-45.080	22.442	86.240	0.64435	-0.57236	0.25980	-0.43542	6.8	13111	40
2025-5-24 13:23:41:157	WTGSB-A6(C3:11:EA:D7:53:77)	-0.561	-1.680	0.323	-13.489	48.035	88.318	-78.28	-4.68	-61.14	-45.080	22.442	86.240	0.64435	-0.57236	0.25980	-0.43542	6.8	13111	40
2025-5-24 13:23:41:199	WTRIGHT(D0:74:13:DA:DA:8C)	0.091	-1.838	-0.447	17.212	37.170	20.447	-97.00	17.24	-140.44	-22.050	26.362	-11.074	-0.33014	0.15738	-0.72806	0.57968	6.8	13111	60
2025-5-24 13:23:41:200	WTRIGHT(D0:74:13:DA:DA:8C)	0.029	-1.586	0.432	32.104	31.921	12.512	-96.86	17.21	-140.58	-22.050	26.362	-11.074	-0.33014	0.15738	-0.72806	0.57968	6.8	13111	60
2025-5-24 13:23:41:200	WTRIGHT(D0:74:13:DA:DA:8C)	-0.536	-2.292	0.001	32.349	30.457	-4.883	-96.71	17.10	-140.69	-22.050	26.362	-11.074	-0.33014	0.15738	-0.72806	0.57968	6.8	13111	60
2025-5-24 13:23:41:200	WTRIGHT(D0:74:13:DA:DA:8C)	-0.279	-1.649	-0.029	43.274	27.527	-15.503	-96.50	16.94	-140.78	-22.050	26.362	-11.074	-0.33014	0.15738	-0.72806	0.57968	6.8	13111	60
2025-5-24 13:23:41:201	WTRIGHT(D0:74:13:DA:DA:8C)	-0.960	-2.584	0.695	48.828	24.048	-40.161	-96.26	16.67	-140.83	-22.050	26.362	-11.074	-0.33014	0.15738	-0.72806	0.57968	6.8	13111	60
2025-5-24 13:23:41:201	WTRIGHT(D0:74:13:DA:DA:8C)	0.115	-2.840	0.068	54.199	26.123	-48.523	-95.98	16.37	-140.88	-22.050	26.362	-11.074	-0.33014	0.15738	-0.72806	0.57968	6.8	13111	60
2025-5-24 13:23:41:201	WTRIGHT(D0:74:13:DA:DA:8C)	-0.259	-1.315	0.821	55.786	18.372	-76.416	-95.68	15.93	-140.86	-22.050	26.362	-11.074	-0.33014	0.15738	-0.72806	0.57968	6.8	13111	60
