时间	设备名称	加速度X(g)	加速度Y(g)	加速度Z(g)	角速度X(°/s)	角速度Y(°/s)	角速度Z(°/s)	角度X(°)	角度Y(°)	角度Z(°)	磁场X(uT)	磁场Y(uT)	磁场Z(uT)	温度(°C)	电量(%)
2025-6-24 23:34:43:501	WTLEFT(C3:11:EA:D7:53:77)	-0.011		1.009				0.12	1.6	-90.68	-80.36	-0.98	8.526	27.5	100
2025-6-24 23:34:43:501	WTLEFT(C3:11:EA:D7:53:77)	-0.011	-0.001	0.997				0.12	1.6	-90.68	-80.36	-0.98	8.526	27.5	100
2025-6-24 23:34:43:551	WTRIGHT(D0:74:13:DA:DA:8C)	0.093	0.991	-0.049	-0.977	-1.16		2.16	-3.93	-147.25	-57.134	-41.258	81.83	27.5	100
2025-6-24 23:34:43:551	WTRIGHT(D0:74:13:DA:DA:8C)	0.102	0.995	-0.057	-0.854	-1.099	0.549	2.15	-3.93	-147.27	-57.134	-41.258	81.83	27.5	100
2025-6-24 23:34:43:561	WTLEFT(C3:11:EA:D7:53:77)	-0.011		0.999				0.12	1.6	-90.68	-80.36	-0.98	8.526	27.5	100
2025-6-24 23:34:43:561	WTLEFT(C3:11:EA:D7:53:77)	-0.011		1.005				0.12	1.6	-90.68	-80.36	-0.98	8.526	27.5	100
2025-6-24 23:34:43:583	WTRIGHT(D0:74:13:DA:DA:8C)	0.113	0.992	-0.049	-0.916	1.099	-0.488	2.14	-3.93	-147.27	-57.134	-41.258	81.83	27.5	100
2025-6-24 23:34:43:583	WTRIGHT(D0:74:13:DA:DA:8C)	0.097	0.99	-0.048	-0.244	-0.366	0.671	2.12	-3.94	-147.22	-57.134	-41.258	81.83	27.5	100
2025-6-24 23:34:43:591	WTLEFT(C3:11:EA:D7:53:77)	-0.012		0.999				0.12	1.6	-90.68	-80.36	-0.98	8.526	27.5	100
2025-6-24 23:34:43:591	WTLEFT(C3:11:EA:D7:53:77)	-0.011	-0.002	1				0.12	1.6	-90.68	-80.36	-0.98	8.526	27.5	100
2025-6-24 23:34:43:611	WTRIGHT(D0:74:13:DA:DA:8C)	0.108	0.991	-0.051		-0.366	0.549	2.12	-3.95	-147.23	-57.134	-41.258	81.83	27.5	100
2025-6-24 23:34:43:612	WTRIGHT(D0:74:13:DA:DA:8C)	0.111	0.989	-0.046	-0.244	-0.366	0.61	2.11	-3.96	-147.23	-57.134	-41.258	81.83	27.5	100
2025-6-24 23:34:43:621	WTLEFT(C3:11:EA:D7:53:77)	-0.012	0.001	1				0.12	1.6	-90.68	-80.36	-0.98	8.526	27.5	100
2025-6-24 23:34:43:621	WTLEFT(C3:11:EA:D7:53:77)	-0.012	-0.002	1				0.12	1.6	-90.68	-80.36	-0.98	8.526	27.5	100
2025-6-24 23:34:43:671	WTRIGHT(D0:74:13:DA:DA:8C)	0.102	0.984	-0.047		-0.305	0.549	2.11	-3.97	-147.23	-57.134	-41.258	81.83	27.5	100
2025-6-24 23:34:43:672	WTRIGHT(D0:74:13:DA:DA:8C)	0.106	0.989	-0.051		-0.122	0.305	2.11	-3.98	-147.23	-57.134	-41.258	81.83	27.5	100
2025-6-24 23:34:43:680	WTLEFT(C3:11:EA:D7:53:77)	-0.013	-0.001	0.999				0.12	1.6	-90.68	-80.36	-0.98	8.526	27.5	100
2025-6-24 23:34:43:681	WTLEFT(C3:11:EA:D7:53:77)	-0.013	0.002	0.999				0.12	1.6	-90.68	-80.36	-0.98	8.526	27.5	100
2025-6-24 23:34:43:701	WTRIGHT(D0:74:13:DA:DA:8C)	0.111	0.992	-0.047	-0.061	-0.244	0.244	2.1	-3.98	-147.23	-57.134	-41.258	81.83	27.5	100
2025-6-24 23:34:43:701	WTRIGHT(D0:74:13:DA:DA:8C)	0.1	0.985	-0.046	-0.061	-0.183		2.1	-3.98	-147.23	-57.134	-41.258	81.83	27.5	100
2025-6-24 23:34:43:711	WTLEFT(C3:11:EA:D7:53:77)	-0.01	0.001	1.002				0.12	1.6	-90.68	-80.36	-0.98	8.526	27.5	100
2025-6-24 23:34:43:711	WTLEFT(C3:11:EA:D7:53:77)	-0.013	-0.001	1.001				0.12	1.6	-90.68	-80.36	-0.98	8.526	27.5	100
2025-6-24 23:34:43:731	WTRIGHT(D0:74:13:DA:DA:8C)	0.097	0.988	-0.051	0.244	0.183	-0.305	2.1	-3.98	-147.23	-57.134	-41.258	81.83	27.5	100
2025-6-24 23:34:43:731	WTRIGHT(D0:74:13:DA:DA:8C)	0.106	0.987	-0.042	0.427	0.305		2.1	-3.98	-147.22	-57.134	-41.258	81.83	27.5	100
2025-6-24 23:34:43:741	WTLEFT(C3:11:EA:D7:53:77)	-0.01		0.999				0.12	1.6	-90.68	-80.36	-0.98	8.526	27.5	100
2025-6-24 23:34:43:741	WTLEFT(C3:11:EA:D7:53:77)	-0.011	0.001	0.997				0.12	1.6	-90.68	-80.36	-0.98	8.526	27.5	100
2025-6-24 23:34:43:791	WTRIGHT(D0:74:13:DA:DA:8C)	0.104	0.992	-0.057	0.183	0.061	0.366	2.11	-3.98	-147.22	-57.134	-41.258	81.83	27.5	100
2025-6-24 23:34:43:791	WTRIGHT(D0:74:13:DA:DA:8C)	0.109	0.988	-0.05		-0.061	0.122	2.1	-3.98	-147.22	-57.134	-41.258	81.83	27.5	100
2025-6-24 23:34:43:801	WTLEFT(C3:11:EA:D7:53:77)	-0.011		0.998				0.12	1.6	-90.68	-80.36	-0.98	8.526	27.5	100
2025-6-24 23:34:43:802	WTLEFT(C3:11:EA:D7:53:77)	-0.012		0.996				0.12	1.6	-90.68	-80.36	-0.98	8.526	27.5	100
2025-6-24 23:34:43:822	WTRIGHT(D0:74:13:DA:DA:8C)	0.105	0.988	-0.046	0.183		0.244	2.1	-3.99	-147.21	-57.134	-41.258	81.83	27.5	100
2025-6-24 23:34:43:822	WTRIGHT(D0:74:13:DA:DA:8C)	0.104	0.991	-0.045	0.183	0.061	0.366	2.1	-3.99	-147.21	-57.036	-41.16	81.634	27.5	100
2025-6-24 23:34:43:831	WTLEFT(C3:11:EA:D7:53:77)	-0.01	0.001	0.998				0.12	1.6	-90.68	-80.36	-0.98	8.526	27.5	100
2025-6-24 23:34:43:831	WTLEFT(C3:11:EA:D7:53:77)	-0.009		0.999				0.12	1.6	-90.68	-80.458	-0.98	8.624	27.5	100
2025-6-24 23:34:43:861	WTLEFT(C3:11:EA:D7:53:77)	-0.011		0.998				0.13	1.6	-90.68	-80.458	-0.98	8.624	27.5	100
2025-6-24 23:34:43:861	WTLEFT(C3:11:EA:D7:53:77)	-0.011		0.997				0.13	1.6	-90.68	-80.458	-0.98	8.624	27.5	100
2025-6-24 23:34:43:881	WTRIGHT(D0:74:13:DA:DA:8C)	0.104	0.992	-0.051	0.122	-0.122	0.488	2.1	-4	-147.2	-57.036	-41.16	81.634	27.5	100
2025-6-24 23:34:43:881	WTRIGHT(D0:74:13:DA:DA:8C)	0.112	0.99	-0.064	0.183	-0.061	0.488	2.1	-4	-147.2	-57.036	-41.16	81.634	27.5	100
2025-6-24 23:34:43:911	WTRIGHT(D0:74:13:DA:DA:8C)	0.11	0.987	-0.05	-0.305	-0.366	0.122	2.1	-4.01	-147.2	-57.036	-41.16	81.634	27.5	100
2025-6-24 23:34:43:911	WTRIGHT(D0:74:13:DA:DA:8C)	0.101	0.984	-0.038		-0.244	0.183	2.09	-4.01	-147.21	-57.036	-41.16	81.634	27.5	100
2025-6-24 23:34:43:922	WTLEFT(C3:11:EA:D7:53:77)	-0.011	0.004	1.004				0.13	1.6	-90.68	-80.458	-0.98	8.624	27.5	100
2025-6-24 23:34:43:922	WTLEFT(C3:11:EA:D7:53:77)	-0.013	0.001	0.997				0.13	1.6	-90.68	-80.458	-0.98	8.624	27.5	100
2025-6-24 23:34:43:941	WTRIGHT(D0:74:13:DA:DA:8C)	0.05	0.989	-0.049	0.122		0.061	2.09	-4.01	-147.21	-57.036	-41.16	81.634	27.5	100
2025-6-24 23:34:43:941	WTRIGHT(D0:74:13:DA:DA:8C)	0.118	0.949	-0.075	-1.038	2.075	-0.671	2.08	-4.01	-147.19	-57.036	-41.16	81.634	27.5	100
2025-6-24 23:34:43:951	WTLEFT(C3:11:EA:D7:53:77)	-0.01	-0.001	1				0.13	1.6	-90.68	-80.458	-0.98	8.624	27.5	100
2025-6-24 23:34:43:951	WTLEFT(C3:11:EA:D7:53:77)	-0.011	-0.001	0.999				0.13	1.6	-90.68	-80.458	-0.98	8.624	27.5	100
2025-6-24 23:34:43:971	WTRIGHT(D0:74:13:DA:DA:8C)	0.116	0.986	-0.05	0.183	-0.366	0.427	2.08	-4	-147.11	-57.036	-41.16	81.634	27.5	100
2025-6-24 23:34:43:971	WTRIGHT(D0:74:13:DA:DA:8C)	0.101	0.981	-0.047	0.244	0.122	0.183	2.08	-4.02	-147.1	-57.036	-41.16	81.634	27.5	100
2025-6-24 23:34:44:11	WTLEFT(C3:11:EA:D7:53:77)	-0.011	0.009	1.011				0.13	1.6	-90.68	-80.458	-0.98	8.624	27.5	100
2025-6-24 23:34:44:11	WTLEFT(C3:11:EA:D7:53:77)	-0.012	0.002	1				0.13	1.6	-90.68	-80.458	-0.98	8.624	27.5	100
2025-6-24 23:34:44:31	WTRIGHT(D0:74:13:DA:DA:8C)	0.097	0.989	-0.046	0.061	0.366	0.244	2.07	-4.02	-147.1	-57.036	-41.16	81.634	27.5	100
2025-6-24 23:34:44:31	WTRIGHT(D0:74:13:DA:DA:8C)	0.114	0.993	-0.05	0.122	0.183	0.61	2.07	-4.03	-147.09	-57.036	-41.16	81.634	27.5	100
2025-6-24 23:34:44:41	WTLEFT(C3:11:EA:D7:53:77)	-0.013	-0.005	0.997				0.13	1.6	-90.68	-80.458	-0.98	8.624	27.5	100
2025-6-24 23:34:44:41	WTLEFT(C3:11:EA:D7:53:77)	-0.012		0.997				0.13	1.6	-90.68	-80.458	-0.98	8.624	27.5	100
2025-6-24 23:34:44:71	WTLEFT(C3:11:EA:D7:53:77)	-0.013		1				0.13	1.6	-90.68	-80.458	-0.98	8.624	27.5	100
2025-6-24 23:34:44:71	WTLEFT(C3:11:EA:D7:53:77)	-0.013	0.001	1				0.13	1.6	-90.68	-80.458	-0.98	8.624	27.5	100
2025-6-24 23:34:44:91	WTRIGHT(D0:74:13:DA:DA:8C)	0.122	0.99	-0.054	-0.122	-0.122	0.61	2.07	-4.04	-147.09	-57.036	-41.16	81.634	27.5	100
2025-6-24 23:34:44:91	WTRIGHT(D0:74:13:DA:DA:8C)	0.121	0.984	-0.048		-0.122	0.061	2.07	-4.05	-147.09	-57.036	-41.16	81.634	27.5	100
2025-6-24 23:34:44:92	WTRIGHT(D0:74:13:DA:DA:8C)	0.11	0.981	-0.046		0.061	-0.671	2.07	-4.04	-147.09	-57.036	-41.16	81.634	27.5	100
2025-6-24 23:34:44:92	WTRIGHT(D0:74:13:DA:DA:8C)	0.108	0.992	-0.053	-0.122	-0.061	-0.977	2.06	-4.03	-147.08	-57.036	-41.16	81.634	27.5	100
2025-6-24 23:34:44:131	WTLEFT(C3:11:EA:D7:53:77)	-0.011	-0.001	0.998				0.13	1.6	-90.68	-80.458	-0.98	8.624	27.5	100
2025-6-24 23:34:44:131	WTLEFT(C3:11:EA:D7:53:77)	-0.009		1				0.13	1.6	-90.68	-80.458	-0.98	8.624	27.5	100
