时间	设备名称	加速度X(g)	加速度Y(g)	加速度Z(g)	角速度X(°/s)	角速度Y(°/s)	角速度Z(°/s)	角度X(°)	角度Y(°)	角度Z(°)	磁场X(uT)	磁场Y(uT)	磁场Z(uT)	温度(°C)	电量(%)
2025-6-24 23:35:27:367	WTLEFT(C3:11:EA:D7:53:77)	-0.067	-0.073	1.061	-4.089	-1.892	-0.061	-4.81	3.61	-90.32	-80.458	-0.588	7.742	27.6	100
2025-6-24 23:35:27:367	WTLEFT(C3:11:EA:D7:53:77)	-0.06	-0.082	0.994	-4.028	0.732	-0.305	-4.86	3.61	-90.32	-80.458	-0.588	7.742	27.6	100
2025-6-24 23:35:27:415	WTRIGHT(D0:74:13:DA:DA:8C)	-0.112	0.982	-0.066	0.732	-1.038	-6.409	4.37	9.45	-146.62	-52.332	-37.73	81.732	28.3	100
2025-6-24 23:35:27:416	WTRIGHT(D0:74:13:DA:DA:8C)	-0.1	0.984	-0.113	1.282	-1.099	-7.813	4.39	9.61	-146.59	-52.332	-37.73	81.732	28.3	100
2025-6-24 23:35:27:423	WTLEFT(C3:11:EA:D7:53:77)	-0.053	-0.084	0.979	-3.845	1.038	-0.122	-4.92	3.63	-90.31	-80.458	-0.588	7.742	27.6	100
2025-6-24 23:35:27:424	WTLEFT(C3:11:EA:D7:53:77)	-0.054	-0.086	0.995	-4.578	1.587	-0.122	-5	3.66	-90.32	-80.458	-0.588	7.742	27.6	100
2025-6-24 23:35:27:444	WTRIGHT(D0:74:13:DA:DA:8C)	-0.18	1.012	-0.059	2.38	-0.305	-9.705	4.43	9.79	-146.55	-52.332	-37.73	81.732	28.3	100
2025-6-24 23:35:27:444	WTRIGHT(D0:74:13:DA:DA:8C)	-0.173	0.974	-0.056	3.662	0.427	-10.315	4.49	9.99	-146.49	-52.332	-37.73	81.732	28.3	100
2025-6-24 23:35:27:455	WTLEFT(C3:11:EA:D7:53:77)	-0.062	-0.082	0.988	-5.005	3.662	-0.122	-5.09	3.72	-90.32	-80.458	-0.588	7.742	27.6	100
2025-6-24 23:35:27:456	WTLEFT(C3:11:EA:D7:53:77)	-0.063	-0.09	0.953	-2.991	3.662		-5.16	3.8	-90.32	-80.458	-0.588	7.742	27.6	100
