时间	设备名称	加速度X(g)	加速度Y(g)	加速度Z(g)	角速度X(°/s)	角速度Y(°/s)	角速度Z(°/s)	角度X(°)	角度Y(°)	角度Z(°)	磁场X(uT)	磁场Y(uT)	磁场Z(uT)	温度(°C)	电量(%)
2025-6-24 23:34:59:553	WTLEFT(C3:11:EA:D7:53:77)	-0.013	0.002	1.006	0.366	-0.061		0.04	1.58	-90.68	-80.458	-0.98	8.624	27.6	100
2025-6-24 23:34:59:553	WTLEFT(C3:11:EA:D7:53:77)	-0.012	0.005	1.004	0.549			0.05	1.58	-90.68	-80.458	-0.98	8.624	27.6	100
2025-6-24 23:34:59:573	WTRIGHT(D0:74:13:DA:DA:8C)	0.117	0.981	-0.061	1.526	1.16	2.93	2.96	-4.58	-146.57	-56.252	-41.846	82.124	28.3	100
2025-6-24 23:34:59:573	WTRIGHT(D0:74:13:DA:DA:8C)	0.121	0.987	-0.071	1.587	1.526	2.319	2.98	-4.63	-146.55	-56.252	-41.846	82.124	28.3	100
2025-6-24 23:34:59:585	WTLEFT(C3:11:EA:D7:53:77)	-0.01		0.992	0.61	-0.061		0.07	1.57	-90.68	-80.458	-0.98	8.624	27.6	100
2025-6-24 23:34:59:585	WTLEFT(C3:11:EA:D7:53:77)	-0.011	0.008	0.997	0.305	-0.061		0.08	1.57	-90.68	-80.458	-0.98	8.624	27.6	100
2025-6-24 23:34:59:603	WTRIGHT(D0:74:13:DA:DA:8C)	0.12	0.99	-0.074	1.282	1.892	2.136	3	-4.67	-146.54	-56.252	-41.846	82.124	28.3	100
2025-6-24 23:34:59:604	WTRIGHT(D0:74:13:DA:DA:8C)	0.123	0.983	-0.063	1.404	1.953	2.258	3.03	-4.71	-146.51	-56.252	-41.846	82.124	28.3	100
2025-6-24 23:34:59:613	WTLEFT(C3:11:EA:D7:53:77)	-0.014		0.998	0.549			0.09	1.57	-90.68	-80.458	-0.98	8.624	27.6	100
2025-6-24 23:34:59:614	WTLEFT(C3:11:EA:D7:53:77)	-0.011	0.006	1.004	0.366			0.09	1.58	-90.68	-80.458	-0.98	8.624	27.6	100
2025-6-24 23:34:59:665	WTRIGHT(D0:74:13:DA:DA:8C)	0.123	0.981	-0.064	1.831	2.075	2.197	3.05	-4.76	-146.49	-56.252	-41.846	82.124	28.3	100
2025-6-24 23:34:59:666	WTRIGHT(D0:74:13:DA:DA:8C)	0.085	0.986	-0.069	1.77	1.953	1.648	3.08	-4.8	-146.47	-56.252	-41.846	82.124	28.3	100
2025-6-24 23:34:59:677	WTLEFT(C3:11:EA:D7:53:77)	-0.014	0.006	0.994	0.671			0.11	1.58	-90.68	-80.458	-0.98	8.624	27.6	100
2025-6-24 23:34:59:677	WTLEFT(C3:11:EA:D7:53:77)	-0.014	0.004	1.007	0.977			0.13	1.58	-90.68	-80.458	-0.98	8.624	27.6	100
2025-6-24 23:34:59:692	WTRIGHT(D0:74:13:DA:DA:8C)	0.129	1.029	-0.049	0.671	1.16		3.1	-4.81	-146.46	-56.252	-41.846	82.124	28.3	100
2025-6-24 23:34:59:692	WTRIGHT(D0:74:13:DA:DA:8C)	0.121	0.991	-0.069	1.648	1.77	2.075	3.13	-4.86	-146.44	-56.252	-41.846	82.124	28.3	100
2025-6-24 23:34:59:703	WTLEFT(C3:11:EA:D7:53:77)	-0.012	0.008	0.996	0.916			0.14	1.58	-90.68	-80.458	-0.98	8.624	27.6	100
2025-6-24 23:34:59:703	WTLEFT(C3:11:EA:D7:53:77)	-0.012	0.008	0.998	0.793	0.122		0.16	1.58	-90.68	-80.458	-0.98	8.624	27.6	100
2025-6-24 23:34:59:721	WTRIGHT(D0:74:13:DA:DA:8C)	0.131	0.989	-0.072	1.709	2.014	1.587	3.15	-4.89	-146.42	-56.252	-41.846	82.124	28.3	100
2025-6-24 23:34:59:721	WTRIGHT(D0:74:13:DA:DA:8C)	0.129	0.986	-0.07	1.465	1.526	1.648	3.18	-4.93	-146.41	-56.252	-41.846	82.124	28.3	100
2025-6-24 23:34:59:735	WTLEFT(C3:11:EA:D7:53:77)	-0.01	0.005	1.002	0.854	0.122		0.18	1.58	-90.68	-80.458	-0.98	8.624	27.6	100
2025-6-24 23:34:59:735	WTLEFT(C3:11:EA:D7:53:77)	-0.013	0.002	1.001	0.854	0.122		0.19	1.59	-90.68	-80.556	-0.784	8.526	27.6	100
2025-6-24 23:34:59:783	WTRIGHT(D0:74:13:DA:DA:8C)	0.133	0.987	-0.076	1.282	1.526	1.343	3.2	-4.95	-146.4	-56.056	-42.042	82.614	28.3	100
2025-6-24 23:34:59:783	WTRIGHT(D0:74:13:DA:DA:8C)	0.127	0.984	-0.073	1.099	1.343	1.465	3.22	-4.99	-146.39	-56.056	-42.042	82.614	28.3	100
2025-6-24 23:34:59:796	WTLEFT(C3:11:EA:D7:53:77)	-0.011	0.006	0.994	0.793	0.244		0.21	1.59	-90.68	-80.556	-0.784	8.526	27.6	100
2025-6-24 23:34:59:796	WTLEFT(C3:11:EA:D7:53:77)	-0.009	0.001	0.998	0.854	0.244		0.23	1.6	-90.68	-80.556	-0.784	8.526	27.6	100
2025-6-24 23:34:59:814	WTRIGHT(D0:74:13:DA:DA:8C)	0.132	0.984	-0.069	1.16	1.465	1.282	3.24	-5.02	-146.38	-56.056	-42.042	82.614	28.3	100
2025-6-24 23:34:59:814	WTRIGHT(D0:74:13:DA:DA:8C)	0.158	0.987	-0.077	0.854	1.465	1.282	3.25	-5.04	-146.38	-56.056	-42.042	82.614	28.3	100
2025-6-24 23:34:59:822	WTLEFT(C3:11:EA:D7:53:77)	-0.011	0.005	1.003	0.793	0.244		0.25	1.6	-90.68	-80.556	-0.784	8.526	27.6	100
2025-6-24 23:34:59:822	WTLEFT(C3:11:EA:D7:53:77)	-0.015	0.002	0.997	0.793			0.27	1.6	-90.68	-80.556	-0.784	8.526	27.6	100
2025-6-24 23:34:59:841	WTRIGHT(D0:74:13:DA:DA:8C)	0.115	0.928	-0.07	-0.488	-0.061	-2.319	3.26	-5.05	-146.38	-56.056	-42.042	82.614	28.3	100
2025-6-24 23:34:59:842	WTRIGHT(D0:74:13:DA:DA:8C)	0.11	0.993	-0.075	0.854	1.648	2.38	3.27	-5.05	-146.39	-56.056	-42.042	82.614	28.3	100
2025-6-24 23:34:59:852	WTLEFT(C3:11:EA:D7:53:77)	-0.011	0.008	1	0.732	0.061		0.29	1.6	-90.68	-80.556	-0.784	8.526	27.6	100
2025-6-24 23:34:59:853	WTLEFT(C3:11:EA:D7:53:77)	-0.013	0.008	0.999	0.793			0.31	1.6	-90.68	-80.556	-0.784	8.526	27.6	100
2025-6-24 23:34:59:904	WTRIGHT(D0:74:13:DA:DA:8C)	0.128	0.991	-0.08	0.732	1.587	3.052	3.28	-5.1	-146.38	-56.056	-42.042	82.614	28.3	100
2025-6-24 23:34:59:904	WTRIGHT(D0:74:13:DA:DA:8C)	-0.272	0.989	-0.07	0.366	1.953	3.418	3.28	-5.16	-146.36	-56.056	-42.042	82.614	28.3	100
2025-6-24 23:34:59:918	WTLEFT(C3:11:EA:D7:53:77)	-0.01	0.005	0.999	0.854			0.32	1.61	-90.68	-80.556	-0.784	8.526	27.6	100
2025-6-24 23:34:59:918	WTLEFT(C3:11:EA:D7:53:77)	-0.014	0.006	1	0.977	0.061		0.35	1.61	-90.68	-80.556	-0.784	8.526	27.6	100
2025-6-24 23:34:59:936	WTRIGHT(D0:74:13:DA:DA:8C)	0.12	1.948	-0.138	-0.366	-2.869	-6.226	3.28	-5.16	-146.36	-56.056	-42.042	82.614	28.3	100
2025-6-24 23:34:59:936	WTRIGHT(D0:74:13:DA:DA:8C)	0.201	0.987	-0.071	0.488	2.502	3.723	3.29	-5.22	-146.32	-56.056	-42.042	82.614	28.3	100
2025-6-24 23:34:59:945	WTLEFT(C3:11:EA:D7:53:77)	-0.013	0.012	1	1.099	0.122		0.37	1.61	-90.68	-80.556	-0.784	8.526	27.6	100
2025-6-24 23:34:59:945	WTLEFT(C3:11:EA:D7:53:77)	-0.018	0.01	0.997	1.221	0.183		0.39	1.61	-90.68	-80.556	-0.784	8.526	27.6	100
2025-6-24 23:34:59:965	WTRIGHT(D0:74:13:DA:DA:8C)	0.178	0.813	-0.033	3.967	-10.376	-11.658	3.32	-5.19	-146.35	-56.056	-42.042	82.614	28.3	100
2025-6-24 23:34:59:965	WTRIGHT(D0:74:13:DA:DA:8C)	0.169	0.905	-0.06	-0.427	0.671	0.61	3.31	-5.24	-146.33	-56.056	-42.042	82.614	28.3	100
2025-6-24 23:34:59:973	WTLEFT(C3:11:EA:D7:53:77)	-0.016	-0.001	1.003	1.099	0.183		0.42	1.62	-90.68	-80.556	-0.784	8.526	27.6	100
2025-6-24 23:34:59:973	WTLEFT(C3:11:EA:D7:53:77)	-0.014	0.008	0.991	0.793			0.44	1.62	-90.68	-80.556	-0.784	8.526	27.6	100
2025-6-24 23:35:0:22	WTRIGHT(D0:74:13:DA:DA:8C)	0.168	0.909	-0.074	-0.244	0.793	1.282	3.31	-5.27	-146.32	-56.056	-42.042	82.614	28.3	100
2025-6-24 23:35:0:22	WTRIGHT(D0:74:13:DA:DA:8C)	0.14	0.923	-0.067	-0.061	0.916	0.732	3.31	-5.29	-146.31	-56.056	-42.042	82.614	28.3	100
2025-6-24 23:35:0:34	WTLEFT(C3:11:EA:D7:53:77)	-0.01	0.007	1.001	0.549			0.46	1.62	-90.68	-80.556	-0.784	8.526	27.6	100
2025-6-24 23:35:0:35	WTLEFT(C3:11:EA:D7:53:77)	-0.011	0.018	0.999	0.427			0.47	1.62	-90.68	-80.556	-0.784	8.526	27.6	100
2025-6-24 23:35:0:54	WTRIGHT(D0:74:13:DA:DA:8C)	0.133	0.954	-0.066	0.366	1.648	1.892	3.31	-5.32	-146.3	-56.056	-42.042	82.614	28.3	100
2025-6-24 23:35:0:54	WTRIGHT(D0:74:13:DA:DA:8C)	0.107	0.957	-0.068	0.671	1.892	2.075	3.31	-5.34	-146.29	-56.056	-42.042	82.614	28.3	100
2025-6-24 23:35:0:74	WTLEFT(C3:11:EA:D7:53:77)	-0.01	0.008	0.997	0.305	0.122		0.48	1.62	-90.68	-80.556	-0.784	8.526	27.6	100
2025-6-24 23:35:0:75	WTLEFT(C3:11:EA:D7:53:77)	-0.008	0.014	1	0.488			0.49	1.63	-90.68	-80.556	-0.784	8.526	27.6	100
2025-6-24 23:35:0:83	WTRIGHT(D0:74:13:DA:DA:8C)	0.117	1.007	-0.081	1.282	1.648	2.136	3.32	-5.37	-146.28	-56.056	-42.042	82.614	28.3	100
2025-6-24 23:35:0:84	WTRIGHT(D0:74:13:DA:DA:8C)	0.154	1.008	-0.063	1.221	1.526	1.465	3.34	-5.4	-146.26	-56.056	-42.042	82.614	28.3	100
2025-6-24 23:35:0:98	WTLEFT(C3:11:EA:D7:53:77)	-0.016	0.015	1.002	0.732			0.51	1.62	-90.68	-80.556	-0.784	8.526	27.6	100
2025-6-24 23:35:0:99	WTLEFT(C3:11:EA:D7:53:77)	-0.013	0.015	0.989	1.099	-0.061		0.53	1.63	-90.68	-80.556	-0.784	8.526	27.6	100
2025-6-24 23:35:0:146	WTRIGHT(D0:74:13:DA:DA:8C)	0.116	0.969	-0.064	1.16	1.709	2.136	3.36	-5.43	-146.26	-56.056	-42.042	82.614	28.3	100
2025-6-24 23:35:0:147	WTRIGHT(D0:74:13:DA:DA:8C)	0.12	0.987	-0.074	1.16	0.854	1.099	3.37	-5.47	-146.24	-56.056	-42.042	82.614	28.3	100
2025-6-24 23:35:0:152	WTLEFT(C3:11:EA:D7:53:77)	-0.013	0.015	0.993	1.221	0.061		0.55	1.63	-90.68	-80.556	-0.784	8.526	27.6	100
2025-6-24 23:35:0:153	WTLEFT(C3:11:EA:D7:53:77)	-0.015	0.025	1.004	1.465			0.58	1.63	-90.68	-80.556	-0.784	8.526	27.6	100
2025-6-24 23:35:0:175	WTRIGHT(D0:74:13:DA:DA:8C)	0.121	0.979	-0.103	1.526	2.075	2.93	3.39	-5.52	-146.23	-56.056	-42.042	82.614	28.3	100
2025-6-24 23:35:0:175	WTRIGHT(D0:74:13:DA:DA:8C)	0.157	1.012	-0.068	1.831	2.197	2.686	3.43	-5.55	-146.23	-56.154	-42.532	82.712	28.3	100
2025-6-24 23:35:0:182	WTLEFT(C3:11:EA:D7:53:77)	-0.012	-0.001	0.987	1.587	-0.061		0.62	1.63	-90.68	-80.556	-0.882	8.232	27.6	100
2025-6-24 23:35:0:183	WTLEFT(C3:11:EA:D7:53:77)	-0.015	0.017	0.991	1.587	0.122		0.64	1.63	-90.68	-80.556	-0.882	8.232	27.6	100
2025-6-24 23:35:0:201	WTRIGHT(D0:74:13:DA:DA:8C)	0.133	0.953	-0.091	2.197	1.648	2.319	3.46	-5.61	-146.22	-56.154	-42.532	82.712	28.3	100
2025-6-24 23:35:0:202	WTRIGHT(D0:74:13:DA:DA:8C)	0.155	1.011	-0.066	2.441	2.869	4.272	3.49	-5.68	-146.2	-56.154	-42.532	82.712	28.3	100
2025-6-24 23:35:0:212	WTLEFT(C3:11:EA:D7:53:77)	0.006	0.016	0.995	1.526			0.68	1.63	-90.68	-80.556	-0.882	8.232	27.6	100
2025-6-24 23:35:0:212	WTLEFT(C3:11:EA:D7:53:77)	-0.014	-0.003	1.04	2.014	0.183		0.72	1.63	-90.68	-80.556	-0.882	8.232	27.6	100
2025-6-24 23:35:0:265	WTRIGHT(D0:74:13:DA:DA:8C)	0.133	1.004	-0.062	2.869	2.563	4.211	3.53	-5.76	-146.18	-56.154	-42.532	82.712	28.3	100
2025-6-24 23:35:0:266	WTRIGHT(D0:74:13:DA:DA:8C)	0.164	0.999	-0.089	2.625	2.441	4.639	3.57	-5.84	-146.17	-56.154	-42.532	82.712	28.3	100
2025-6-24 23:35:0:272	WTLEFT(C3:11:EA:D7:53:77)	-0.01	0.008	1.004	2.502	0.061		0.77	1.63	-90.68	-80.556	-0.882	8.232	27.6	100
2025-6-24 23:35:0:272	WTLEFT(C3:11:EA:D7:53:77)	-0.012	0.01	1.003	2.808	0.122		0.82	1.63	-90.68	-80.556	-0.882	8.232	27.6	100
2025-6-24 23:35:0:292	WTRIGHT(D0:74:13:DA:DA:8C)	0.156	1.005	-0.064	2.075	2.686	5.493	3.61	-5.95	-146.16	-56.154	-42.532	82.712	28.3	100
2025-6-24 23:35:0:292	WTRIGHT(D0:74:13:DA:DA:8C)	0.147	0.998	-0.065	2.563	2.625	5.188	3.65	-6.04	-146.17	-56.154	-42.532	82.712	28.3	100
2025-6-24 23:35:0:304	WTLEFT(C3:11:EA:D7:53:77)	-0.015	0.014	0.997	2.869			0.88	1.63	-90.68	-80.556	-0.882	8.232	27.6	100
2025-6-24 23:35:0:305	WTLEFT(C3:11:EA:D7:53:77)	-0.009	0.024	1	2.747	0.061		0.93	1.63	-90.68	-80.556	-0.882	8.232	27.6	100
2025-6-24 23:35:0:322	WTRIGHT(D0:74:13:DA:DA:8C)	0.169	1	-0.07	2.197	1.221	3.174	3.68	-6.12	-146.17	-56.154	-42.532	82.712	28.3	100
2025-6-24 23:35:0:323	WTRIGHT(D0:74:13:DA:DA:8C)	0.142	0.969	-0.076	2.38	2.869	4.456	3.71	-6.22	-146.15	-56.154	-42.532	82.712	28.3	100
