时间	设备名称	加速度X(g)	加速度Y(g)	加速度Z(g)	角速度X(°/s)	角速度Y(°/s)	角速度Z(°/s)	角度X(°)	角度Y(°)	角度Z(°)	磁场X(uT)	磁场Y(uT)	磁场Z(uT)	四元数0()	四元数1()	四元数2()	四元数3()	温度(°C)	版本号()	电量(%)
2025-6-24 23:34:35:340	WTRIGHT(D0:74:13:DA:DA:8C)	0.098	0.988	-0.069	0.000	-0.244	-0.427	3.23	-3.83	-147.26	-56.154	-41.454	82.516	0.22842	0.17242	-0.71185	-0.64130	27.5	13111	100
2025-6-24 23:34:35:342	WTLEFT(C3:11:EA:D7:53:77)	-0.011	-0.005	1.000	0.000	0.000	0.000	-0.20	1.64	-90.67	-80.360	-0.980	9.016	0.70291	0.00171	0.00690	-0.71118	27.5	13111	100
2025-6-24 23:34:35:342	WTLEFT(C3:11:EA:D7:53:77)	-0.010	-0.002	0.995	0.000	0.000	0.000	-0.20	1.64	-90.67	-80.360	-0.980	9.016	0.70291	0.00171	0.00690	-0.71118	27.5	13111	100
2025-6-24 23:34:35:365	WTRIGHT(D0:74:13:DA:DA:8C)	0.098	0.987	-0.069	0.061	-0.061	0.061	3.23	-3.83	-147.26	-56.154	-41.454	82.516	0.22842	0.17242	-0.71185	-0.64130	27.5	13111	100
2025-6-24 23:34:35:365	WTRIGHT(D0:74:13:DA:DA:8C)	0.109	0.988	-0.074	-0.061	-0.122	0.549	3.23	-3.83	-147.26	-56.154	-41.454	82.516	0.22842	0.17242	-0.71185	-0.64130	27.5	13111	100
2025-6-24 23:34:35:404	WTLEFT(C3:11:EA:D7:53:77)	-0.011	-0.001	0.998	0.000	0.000	0.000	-0.20	1.64	-90.67	-80.360	-0.980	9.016	0.70288	0.00204	0.00656	-0.71118	27.5	13111	100
2025-6-24 23:34:35:404	WTLEFT(C3:11:EA:D7:53:77)	-0.009	-0.003	1.000	0.000	0.000	0.000	-0.20	1.64	-90.67	-80.360	-0.980	9.016	0.70288	0.00204	0.00656	-0.71118	27.5	13111	100
2025-6-24 23:34:35:405	WTLEFT(C3:11:EA:D7:53:77)	-0.011	-0.004	0.999	0.000	0.000	0.000	-0.19	1.64	-90.67	-80.360	-0.980	9.016	0.70288	0.00204	0.00656	-0.71118	27.5	13111	100
2025-6-24 23:34:35:405	WTLEFT(C3:11:EA:D7:53:77)	-0.010	-0.002	1.000	0.000	0.000	0.000	-0.19	1.64	-90.67	-80.360	-0.980	9.016	0.70288	0.00204	0.00656	-0.71118	27.5	13111	100
2025-6-24 23:34:35:423	WTRIGHT(D0:74:13:DA:DA:8C)	0.109	0.987	-0.074	-0.122	-0.122	0.366	3.23	-3.84	-147.26	-56.154	-41.454	82.516	0.22842	0.17242	-0.71185	-0.64130	27.5	13111	100
2025-6-24 23:34:35:423	WTRIGHT(D0:74:13:DA:DA:8C)	0.103	0.985	-0.071	-0.183	-0.061	0.183	3.22	-3.85	-147.27	-56.154	-41.454	82.516	0.22842	0.17184	-0.71228	-0.64096	27.5	13111	100
2025-6-24 23:34:35:479	WTRIGHT(D0:74:13:DA:DA:8C)	0.104	0.989	-0.073	-0.183	-0.061	-0.122	3.22	-3.85	-147.27	-56.154	-41.454	82.516	0.22842	0.17184	-0.71228	-0.64096	27.5	13111	100
2025-6-24 23:34:35:479	WTRIGHT(D0:74:13:DA:DA:8C)	0.100	0.989	-0.073	0.000	0.000	-0.366	3.22	-3.83	-147.27	-56.154	-41.454	82.516	0.22842	0.17184	-0.71228	-0.64096	27.5	13111	100
2025-6-24 23:34:35:479	WTLEFT(C3:11:EA:D7:53:77)	-0.011	-0.003	1.000	0.000	0.000	0.000	-0.19	1.64	-90.67	-80.360	-0.980	9.016	0.70288	0.00204	0.00656	-0.71118	27.5	13111	100
2025-6-24 23:34:35:479	WTLEFT(C3:11:EA:D7:53:77)	-0.011	-0.004	1.000	0.000	0.000	0.000	-0.19	1.64	-90.67	-80.360	-0.980	9.016	0.70288	0.00204	0.00656	-0.71118	27.5	13111	100
2025-6-24 23:34:35:492	WTRIGHT(D0:74:13:DA:DA:8C)	0.092	0.991	-0.072	0.000	0.000	-0.122	3.22	-3.83	-147.27	-56.154	-41.454	82.516	0.22842	0.17184	-0.71228	-0.64096	27.5	13111	100
2025-6-24 23:34:35:492	WTRIGHT(D0:74:13:DA:DA:8C)	0.110	0.989	-0.070	0.000	0.000	0.366	3.22	-3.83	-147.27	-56.154	-41.454	82.516	0.22842	0.17184	-0.71228	-0.64096	27.5	13111	100
2025-6-24 23:34:35:493	WTLEFT(C3:11:EA:D7:53:77)	-0.011	-0.003	0.997	0.000	0.000	0.000	-0.19	1.64	-90.67	-80.360	-0.980	9.016	0.70288	0.00204	0.00656	-0.71118	27.5	13111	100
2025-6-24 23:34:35:493	WTLEFT(C3:11:EA:D7:53:77)	-0.011	-0.005	0.998	0.000	0.000	0.000	-0.18	1.63	-90.67	-80.360	-0.980	9.016	0.70288	0.00204	0.00656	-0.71118	27.5	13111	100
2025-6-24 23:34:35:511	WTRIGHT(D0:74:13:DA:DA:8C)	0.117	0.987	-0.075	0.000	0.000	0.488	3.22	-3.84	-147.27	-56.154	-41.454	82.516	0.22842	0.17184	-0.71228	-0.64096	27.5	13111	100
2025-6-24 23:34:35:511	WTRIGHT(D0:74:13:DA:DA:8C)	0.112	0.987	-0.074	0.061	0.061	0.305	3.22	-3.85	-147.27	-56.154	-41.454	82.516	0.22842	0.17184	-0.71228	-0.64096	27.5	13111	100
2025-6-24 23:34:35:530	WTLEFT(C3:11:EA:D7:53:77)	-0.011	-0.002	1.000	0.000	0.000	0.000	-0.18	1.63	-90.67	-80.360	-0.980	9.016	0.70288	0.00204	0.00656	-0.71118	27.5	13111	100
2025-6-24 23:34:35:530	WTLEFT(C3:11:EA:D7:53:77)	-0.012	-0.001	1.000	0.000	0.000	0.000	-0.18	1.63	-90.67	-80.360	-0.980	9.016	0.70288	0.00204	0.00656	-0.71118	27.5	13111	100
2025-6-24 23:34:35:570	WTRIGHT(D0:74:13:DA:DA:8C)	0.101	0.988	-0.071	0.183	0.000	0.061	3.22	-3.85	-147.27	-56.154	-41.454	82.516	0.22842	0.17184	-0.71228	-0.64096	27.5	13111	100
2025-6-24 23:34:35:570	WTRIGHT(D0:74:13:DA:DA:8C)	0.097	0.989	-0.070	0.244	0.000	-0.122	3.22	-3.85	-147.27	-56.154	-41.454	82.516	0.22842	0.17184	-0.71228	-0.64096	27.5	13111	100
2025-6-24 23:34:35:580	WTLEFT(C3:11:EA:D7:53:77)	-0.011	-0.001	0.998	0.000	0.000	0.000	-0.18	1.63	-90.67	-80.458	-0.980	9.016	0.70288	0.00204	0.00656	-0.71118	27.5	13111	100
2025-6-24 23:34:35:580	WTLEFT(C3:11:EA:D7:53:77)	-0.012	-0.004	0.998	0.000	0.000	0.000	-0.18	1.63	-90.67	-80.458	-0.980	9.016	0.70288	0.00204	0.00656	-0.71118	27.5	13111	100
2025-6-24 23:34:35:613	WTLEFT(C3:11:EA:D7:53:77)	-0.011	-0.002	0.998	0.000	0.000	0.000	-0.17	1.63	-90.67	-80.458	-0.980	9.016	0.70288	0.00204	0.00656	-0.71118	27.5	13111	100
2025-6-24 23:34:35:613	WTLEFT(C3:11:EA:D7:53:77)	-0.010	-0.003	0.997	0.000	0.000	0.000	-0.17	1.63	-90.67	-80.458	-0.980	9.016	0.70288	0.00204	0.00656	-0.71118	27.5	13111	100
2025-6-24 23:34:35:644	WTLEFT(C3:11:EA:D7:53:77)	-0.010	-0.001	1.000	0.000	0.000	0.000	-0.16	1.63	-90.67	-80.458	-0.980	9.016	0.70288	0.00204	0.00656	-0.71118	27.5	13111	100
