时间	设备名称	加速度X(g)	加速度Y(g)	加速度Z(g)	角速度X(°/s)	角速度Y(°/s)	角速度Z(°/s)	角度X(°)	角度Y(°)	角度Z(°)	磁场X(uT)	磁场Y(uT)	磁场Z(uT)	温度(°C)	电量(%)
2025-6-24 23:35:13:273	WTLEFT(C3:11:EA:D7:53:77)	-0.009		1.01	-1.587	-0.183		-0.38	1.6	-90.96	-80.556	-0.98	8.232	27.6	100
2025-6-24 23:35:13:274	WTLEFT(C3:11:EA:D7:53:77)	-0.008	-0.015	1.01	-2.258	-0.244	-0.061	-0.42	1.6	-90.96	-80.556	-0.98	8.232	27.6	100
2025-6-24 23:35:13:314	WTRIGHT(D0:74:13:DA:DA:8C)	0.04	0.998	-0.061	-3.174	-5.615	-7.324	2.87	-3.2	-148.82	-55.664	-41.65	82.516	28.3	100
2025-6-24 23:35:13:315	WTRIGHT(D0:74:13:DA:DA:8C)	-0.021	0.986	-0.055	-3.174	-4.944	-6.653	2.82	-3.06	-148.9	-55.664	-41.65	82.516	28.3	100
2025-6-24 23:35:13:324	WTLEFT(C3:11:EA:D7:53:77)	-0.018	-0.027	0.973	-2.686	-0.427		-0.47	1.59	-90.95	-80.556	-0.98	8.232	27.6	100
2025-6-24 23:35:13:325	WTLEFT(C3:11:EA:D7:53:77)	-0.013	0.002	0.968	-1.404	-0.427		-0.51	1.58	-90.94	-80.556	-0.98	8.232	27.6	100
2025-6-24 23:35:13:344	WTRIGHT(D0:74:13:DA:DA:8C)	0.055	0.987	-0.042	-2.014	-3.845	-1.648	2.77	-2.97	-148.91	-55.664	-41.65	82.516	28.3	100
2025-6-24 23:35:13:344	WTRIGHT(D0:74:13:DA:DA:8C)	0.055	1.001	-0.063	-2.625	-3.479	2.625	2.72	-2.99	-148.96	-55.664	-41.65	82.516	28.3	100
2025-6-24 23:35:13:353	WTLEFT(C3:11:EA:D7:53:77)	-0.019	-0.015	0.978	0.549	-0.977		-0.51	1.57	-90.94	-80.556	-0.98	8.232	27.6	100
2025-6-24 23:35:13:354	WTLEFT(C3:11:EA:D7:53:77)	-0.01	-0.008	0.979	1.099	-0.488		-0.49	1.56	-90.94	-80.556	-0.98	8.232	27.6	100
2025-6-24 23:35:13:375	WTRIGHT(D0:74:13:DA:DA:8C)	0.094	0.976	-0.089	-2.319	-2.319	3.723	2.66	-3.03	-148.94	-55.664	-41.65	82.516	28.3	100
2025-6-24 23:35:13:375	WTRIGHT(D0:74:13:DA:DA:8C)	0.099	0.953	-0.091	-3.235	-0.488	1.526	2.6	-3.07	-148.9	-55.664	-41.65	82.516	28.3	100
2025-6-24 23:35:13:384	WTLEFT(C3:11:EA:D7:53:77)	-0.012	-0.007	0.982	1.892	-0.488		-0.46	1.55	-90.93	-80.556	-0.98	8.232	27.6	100
2025-6-24 23:35:13:385	WTLEFT(C3:11:EA:D7:53:77)	-0.01	-0.003	1.007	1.709	0.61		-0.42	1.56	-90.93	-80.556	-0.98	8.232	27.6	100
2025-6-24 23:35:13:435	WTRIGHT(D0:74:13:DA:DA:8C)	0.178	1.002	-0.078	-5.249	-5.981	-3.113	2.53	-3.03	-148.88	-55.664	-41.65	82.516	28.3	100
2025-6-24 23:35:13:436	WTRIGHT(D0:74:13:DA:DA:8C)	0.122	1.094	-0.056	-7.202	-27.039	-6.836	2.44	-2.91	-149.01	-55.664	-41.65	82.516	28.3	100
2025-6-24 23:35:13:446	WTLEFT(C3:11:EA:D7:53:77)	-0.011	-0.005	1.008	0.305	0.671		-0.41	1.58	-90.93	-80.556	-0.98	8.232	27.6	100
2025-6-24 23:35:13:446	WTLEFT(C3:11:EA:D7:53:77)	-0.01	-0.002	1.011	-0.61	0.671		-0.41	1.59	-90.93	-80.556	-0.98	8.232	27.6	100
2025-6-24 23:35:13:465	WTRIGHT(D0:74:13:DA:DA:8C)	0.07	0.971	-0.051	-5.127	-16.357	-6.592	2.35	-2.77	-149.07	-55.664	-41.65	82.516	28.3	100
2025-6-24 23:35:13:465	WTRIGHT(D0:74:13:DA:DA:8C)	0.046	0.949	-0.053	-3.174	-1.16	-5.798	2.27	-2.63	-149.11	-55.664	-41.65	82.516	28.3	100
2025-6-24 23:35:13:480	WTLEFT(C3:11:EA:D7:53:77)	-0.014	-0.005	1.01	-1.282	0.427		-0.43	1.61	-90.92	-80.556	-0.98	8.232	27.6	100
2025-6-24 23:35:13:480	WTLEFT(C3:11:EA:D7:53:77)	-0.012	-0.001	1.006	-1.465	-0.122		-0.46	1.6	-90.92	-80.556	-0.98	8.232	27.6	100
2025-6-24 23:35:13:495	WTRIGHT(D0:74:13:DA:DA:8C)	0.09	0.953	-0.083	-2.014	3.906	-5.859	2.22	-2.53	-149.13	-55.664	-41.65	82.516	28.3	100
2025-6-24 23:35:13:496	WTRIGHT(D0:74:13:DA:DA:8C)	0.095	0.974	-0.03	-0.061	-3.967	-4.456	2.19	-2.44	-149.1	-55.664	-41.65	82.516	28.3	100
2025-6-24 23:35:13:533	WTLEFT(C3:11:EA:D7:53:77)	-0.014	-0.008	1.001	-1.892	-0.244		-0.49	1.6	-90.92	-80.556	-0.98	8.232	27.6	100
